영구번호,화장실명,위도,경도,좌표정확도,좌표출처,카카오장소ID,카카오장소명,이름유사도,사유
WC005756,국립환경과학원 국가대기오염첨단감시센터,37.5687876525516,126.638896247603,A,kakao_place_bldg,49547828,국립환경과학원 국가대기오염첨단감시센터,1.0,"캠퍼스·단지 건물 좌표(구분어 국립환경과학원국가대기오염첨단감시센터, 묶음 좌표에서 50m)"
WC005755,"국립환경과학원 환경독성연구동
(1층, 2층, 3층, 4층)",37.5681313771919,126.638780564288,A,kakao_place_bldg,17581241,국립환경과학원 환경독성연구동,1.0,"캠퍼스·단지 건물 좌표(구분어 국립환경과학원환경독성연구동, 묶음 좌표에서 114m)"
WC005750,"국립환경과학원 실내환경종합연구동
(1층, 2층)",37.5684006171622,126.638435159277,A,kakao_place_bldg,17573163,국립환경과학원 실내환경종합연구동,1.0,"캠퍼스·단지 건물 좌표(구분어 국립환경과학원실내환경종합연구동, 묶음 좌표에서 83m)"
WC038772,광장시장 1층 청과부,37.57009764791222,127.00009848010464,A,kakao_place_bldg,26334603,광장시장 1층청과부 개방화장실,0.67,"캠퍼스·단지 건물 좌표(구분어 청과부, 묶음 좌표에서 27m)"
WC002275,문화비축기지 설비동,37.57112466759346,126.89469390669967,A,kakao_place_bldg,199427014,문화비축기지 설비동,1.0,"캠퍼스·단지 건물 좌표(구분어 설비동, 묶음 좌표에서 91m)"
WC039158,서울식물원 식물문화센터 화장실,37.57013454857729,126.83495524604109,A,kakao_place_bldg,2055700836,서울식물원 식물문화센터 개방화장실,0.81,"캠퍼스·단지 건물 좌표(구분어 식물문화센터, 묶음 좌표에서 299m)"
WC039157,서울식물원 습지원 화장실,37.57715712122941,126.8344733381638,A,kakao_place_bldg,2024114869,서울식물원 습지원 개방화장실,0.76,"캠퍼스·단지 건물 좌표(구분어 습지원, 묶음 좌표에서 565m)"
WC039156,서울식물원 호수원 화장실,37.57195751126966,126.83194015080619,A,kakao_place_bldg,442045906,서울식물원 호수원 개방화장실,0.76,"캠퍼스·단지 건물 좌표(구분어 호수원, 묶음 좌표에서 86m)"
WC039155,서울식물원 주제원 화장실,37.56816850372361,126.83361825323617,A,kakao_place_bldg,2034985788,서울식물원 주제원,1.0,"캠퍼스·단지 건물 좌표(구분어 주제원, 묶음 좌표에서 458m)"
WC039153,서울식물원 티하우스 화장실,37.568278069919856,126.8346480626039,A,kakao_place_bldg,213242257,서울식물원 티하우스 개방화장실,0.78,"캠퍼스·단지 건물 좌표(구분어 티하우스, 묶음 좌표에서 469m)"
WC039151,서울식물원 어린이정원학교 화장실,37.57047154047398,126.83432626481124,A,kakao_place_bldg,167984431,서울식물원 어린이정원학교 개방화장실,0.83,"캠퍼스·단지 건물 좌표(구분어 어린이정원학교, 묶음 좌표에서 237m)"
WC009761,간데메공원 농구장,37.5737088219032,127.048409269095,A,kakao_place_bldg,1862466012,간데메공원 농구장,1.0,"캠퍼스·단지 건물 좌표(구분어 농구장, 묶음 좌표에서 118m)"
WC009610,간데메공원 농구장,37.5737088219032,127.048409269095,A,kakao_place_bldg,1862466012,간데메공원 농구장,1.0,"캠퍼스·단지 건물 좌표(구분어 농구장, 묶음 좌표에서 118m)"
WC005888,한강시민공원(야구장),37.573264162367146,127.13170174459061,A,kakao_place_bldg,17556411,구리한강시민공원 사회인야구장,0.78,"캠퍼스·단지 건물 좌표(구분어 야구장, 묶음 좌표에서 169m)"
WC009834,SK스포츠상가,37.5774016631564,127.059044020336,A,kakao_place_bldg,26342052,SK스포츠상가 개방화장실,0.74,"캠퍼스·단지 건물 좌표(구분어 SK스포츠상가, 묶음 좌표에서 237m)"
WC009833,SK주상가,37.57762331443331,127.0608056946874,A,kakao_place_bldg,26342019,SK주상가 개방화장실,0.67,"캠퍼스·단지 건물 좌표(구분어 SK주상가, 묶음 좌표에서 127m)"
WC009685,SK스포츠상가,37.5774016631564,127.059044020336,A,kakao_place_bldg,26342052,SK스포츠상가 개방화장실,0.74,"캠퍼스·단지 건물 좌표(구분어 SK스포츠상가, 묶음 좌표에서 237m)"
WC009684,SK주상가,37.57762331443331,127.0608056946874,A,kakao_place_bldg,26342019,SK주상가 개방화장실,0.67,"캠퍼스·단지 건물 좌표(구분어 SK주상가, 묶음 좌표에서 127m)"
WC009812,경동광성상가,37.57993368948162,127.03894438095296,A,kakao_place_bldg,18524639,경동시장광성상가,0.86,"캠퍼스·단지 건물 좌표(구분어 광성상가, 묶음 좌표에서 87m)"
WC009661,경동광성상가,37.57993368948162,127.03894438095296,A,kakao_place_bldg,18524639,경동시장광성상가,0.86,"캠퍼스·단지 건물 좌표(구분어 광성상가, 묶음 좌표에서 87m)"
WC039004,명지전문대학 사회교육관 화장실,37.584532612214,126.925847152654,A,kakao_place_bldg,17565724,명지전문대학 사회교육관,1.0,"캠퍼스·단지 건물 좌표(구분어 사회교육관, 묶음 좌표에서 85m)"
WC039001,명지전문대학 본관및인문사회관 화장실,37.5847049784384,126.9248597241,A,kakao_place_bldg,23891696,B동 본관및인문사회관,0.67,"캠퍼스·단지 건물 좌표(구분어 본관및인문사회관, 묶음 좌표에서 95m)"
WC020484,국립유명산자연휴양림 산림복합체험센터 2층,37.592532138443076,127.49225233636277,A,kakao_place_bldg,709632703,국립유명산자연휴양림 산림복합체험센터,1.0,"캠퍼스·단지 건물 좌표(구분어 산림복합체험센터, 묶음 좌표에서 115m)"
WC020483,국립유명산자연휴양림 산림복합체험센터 1층,37.592532138443076,127.49225233636277,A,kakao_place_bldg,709632703,국립유명산자연휴양림 산림복합체험센터,1.0,"캠퍼스·단지 건물 좌표(구분어 산림복합체험센터, 묶음 좌표에서 115m)"
WC020482,국립유명산자연휴양림 자생식물원 공중화장실,37.592584147574044,127.4933906252655,A,kakao_place_bldg,21682464,국립유명산자연휴양림 자생식물원,1.0,"캠퍼스·단지 건물 좌표(구분어 자생식물원, 묶음 좌표에서 209m)"
WC020480,국립유명산자연휴양림 2야영장 공중화장실,37.591036254271124,127.49014779982727,A,kakao_place_bldg,17652588,국립유명산자연휴양림 제2야영장,0.97,"캠퍼스·단지 건물 좌표(구분어 야영장, 묶음 좌표에서 226m)"
WC019116,정약용 펀그라운드 본관동 2층,37.5960640481648,127.336771252585,A,kakao_place_bldg,1086931242,정약용펀그라운드 유스호스텔 본관동,0.81,"캠퍼스·단지 건물 좌표(구분어 본관동, 묶음 좌표에서 167m)"
WC019115,정약용 펀그라운드 본관동 1층,37.5960640481648,127.336771252585,A,kakao_place_bldg,1086931242,정약용펀그라운드 유스호스텔 본관동,0.81,"캠퍼스·단지 건물 좌표(구분어 본관동, 묶음 좌표에서 167m)"
WC044577,행주산성 제1주차장 화장실,37.60033019974694,126.82481576287566,A,kakao_place_bldg,20588761,행주산성 제1주차장,1.0,"캠퍼스·단지 건물 좌표(구분어 주차장, 묶음 좌표에서 582m)"
WC044576,행주산성 제2주차장 화장실,37.6005951851627,126.823669136813,A,kakao_place_bldg,26355406,행주산성 제2주차장,1.0,"캠퍼스·단지 건물 좌표(구분어 주차장, 묶음 좌표에서 668m)"
WC010601,녹번동 주민센터 화장실,37.6022161609708,126.9299199828,A,kakao_place_bldg,8223422,녹번동주민센터,1.0,"캠퍼스·단지 건물 좌표(구분어 녹번동주민센터, 묶음 좌표에서 100m)"
WC010596,은평구 의회 화장실,37.60265583994833,126.92991277566935,A,kakao_place_bldg,11315453,은평구의회,1.0,"캠퍼스·단지 건물 좌표(구분어 은평구의회, 묶음 좌표에서 99m)"
WC020556,서종작은도서관,37.6068350757513,127.348958013257,A,kakao_place_bldg,21813784,서종작은도서관,1.0,"캠퍼스·단지 건물 좌표(구분어 작은도서관, 묶음 좌표에서 35m)"
WC000168,월곡인조잔디구장,37.60867019706736,127.04078274791296,A,kakao_place_bldg,17505167,제1월곡 인조잔디구장,0.89,"캠퍼스·단지 건물 좌표(구분어 월곡인조잔디구장, 묶음 좌표에서 137m)"
WC000102,오동근린 공원화장실,37.6099744140464,127.041968117025,A,kakao_place_bldg,7997426,오동근린공원,1.0,"캠퍼스·단지 건물 좌표(구분어 오동근린공원, 묶음 좌표에서 162m)"
WC019094,남양주체육문화센터 1층,37.6053519107331,127.176663717454,A,kakao_place_bldg,8232483,남양주체육문화센터,1.0,"캠퍼스·단지 건물 좌표(구분어 남양주체육문화센터, 묶음 좌표에서 515m)"
WC019089,남양주체육문화센터 공중화장실,37.6053519107331,127.176663717454,A,kakao_place_bldg,8232483,남양주체육문화센터,1.0,"캠퍼스·단지 건물 좌표(구분어 남양주체육문화센터, 묶음 좌표에서 515m)"
WC019088,체육관 화장실,37.6053699101037,127.176677349879,A,kakao_place_bldg,12273646,남양주체육문화센터 실내체육관,0.35,"캠퍼스·단지 건물 좌표(구분어 체육관, 묶음 좌표에서 513m)"
WC010158,북서울꿈의숲(라포레스타),37.622509765950525,127.03964623026386,A,kakao_place_bldg,11597084,라포레스타,0.62,"캠퍼스·단지 건물 좌표(구분어 라포레스타, 묶음 좌표에서 482m)"
WC010157,북서울꿈의숲(상상톡톡미술관),37.6225163748567,127.041390667983,A,kakao_place_bldg,26449227,상상톡톡미술관,0.7,"캠퍼스·단지 건물 좌표(구분어 상상톡톡미술관, 묶음 좌표에서 361m)"
WC010153,북서울꿈의숲(주차장),37.6219481274988,127.037887918169,A,kakao_place_bldg,1569937142,북서울꿈의숲 서문 주차장,0.9,"캠퍼스·단지 건물 좌표(구분어 주차장, 묶음 좌표에서 597m)"
WC010501,서울과학기술대학교 대학본부,37.6318305564418,127.080263049121,A,kakao_place_bldg,17561951,서울과학기술대학교 대학본부,1.0,"캠퍼스·단지 건물 좌표(구분어 대학본부, 묶음 좌표에서 335m)"
WC010500,서울과학기술대학교 다산관,37.6324738253956,127.077621817214,A,kakao_place_bldg,17567019,서울과학기술대학교 다산관,1.0,"캠퍼스·단지 건물 좌표(구분어 다산관, 묶음 좌표에서 99m)"
WC010499,서울과학기술대학교 창학관,37.6322671791534,127.07945689586,A,kakao_place_bldg,17566533,서울과학기술대학교 창학관,1.0,"캠퍼스·단지 건물 좌표(구분어 창학관, 묶음 좌표에서 251m)"
WC010497,서울과학기술대학교 청운관,37.6333547045331,127.080731448875,A,kakao_place_bldg,17563286,서울과학기술대학교 청운관,1.0,"캠퍼스·단지 건물 좌표(구분어 청운관, 묶음 좌표에서 348m)"
WC010496,서울과학기술대학교 창조관,37.6348225366672,127.079214902565,A,kakao_place_bldg,17564692,서울과학기술대학교 창조관,1.0,"캠퍼스·단지 건물 좌표(구분어 창조관, 묶음 좌표에서 288m)"
WC010494,서울과학기술대학교 창업보육센터,37.6308711833083,127.075911773172,A,kakao_place_bldg,9871643,서울과학기술대학교 창업보육센터,1.0,"캠퍼스·단지 건물 좌표(구분어 창업보육센터, 묶음 좌표에서 258m)"
WC010493,서울과학기술대학교 프론티어관,37.631537854055075,127.07600308218998,A,kakao_place_bldg,26776082,서울과학기술대학교 프론티어관,1.0,"캠퍼스·단지 건물 좌표(구분어 프론티어관, 묶음 좌표에서 185m)"
WC010492,서울과학기술대학교 하이테크관,37.6321107110214,127.076266497219,A,kakao_place_bldg,17567297,서울과학기술대학교 하이테크관,1.0,"캠퍼스·단지 건물 좌표(구분어 하이테크관, 묶음 좌표에서 117m)"
WC010488,서울과학기술대학교 국제관,37.6349245384372,127.077572251301,A,kakao_place_bldg,875690789,서울과학기술대학교 국제관,1.0,"캠퍼스·단지 건물 좌표(구분어 국제관, 묶음 좌표에서 216m)"
WC010487,서울과학기술대학교 다빈치관,37.6353346990441,127.078612720143,A,kakao_place_bldg,17565813,서울과학기술대학교 다빈치관,1.0,"캠퍼스·단지 건물 좌표(구분어 다빈치관, 묶음 좌표에서 298m)"
